node,group
B00A0IWSN4,group1
B007RTR8TS,group1
B007Q22HMY,group1
B005TI7NQW,group1
B00GTC0DYQ,group1
B00GTBZOVE,group1
B00HSNWXZM,group1
B006SVCY6I,group1
B00GTC03OG,group1
B00GTC0DFK,group1
B00AAIOP44,group1
B00GTC1HCI,group1
B000142C1A,group1
B0018BTA2Y,group1
B00ALV8EL0,group1
B002ZTV9SG,group1
B00EHWP67E,group1
B009RNUH7M,group1
B00AE07EGO,group1
B00147FGJ8,group1
B00D6EDGZI,group1
B001ECQ4JE,group1
B004TSFBJO,group1
B007JT7AIA,group1
B001DOA73C,group1
B0061KQEVW,group1
B0027CT5TG,group1
B006RFZ66K,group1
B007JT7AIK,group1
B002LFNQT4,group1
B00GZ18LL8,group1
B00A0IWTEW,group1
B00B868SK4,group1
B00AAJTDLI,group1
B000RYSXWG,group1
B006Z96OI2,group1
B0009EILKS,group1
B007RTR8AM,group1
B00A0IWT9C,group1
B002TSA916,group1
B00AE07BMQ,group1
B000IOFQWK,group1
B005KJ35D0,group1
B00GTC1JHQ,group1
B00HB2JQNM,group1
B00GTBZWPW,group1
B007TLJP2W,group1
B001J2ZXMI,group1
B00H93NJLS,group1
B006RFZ81S,group1
B007RTR8UM,group1
B003VGMOR2,group1
B00KHGIK54,group1
B003QOZ2C8,group1
B00008ZPG9,group1
B00GLS58OS,group1
B00GTBZXTC,group1
B00AWLB9I4,group1
B007RTR9E2,group1
B00HM6IVXI,group1
B00HSNX1AS,group1
B007RTR8UC,group1
B00A0IWTBA,group1
B005OZJYUS,group1
B00AO4E9MC,group1
B00EOP3O3C,group1
B007RTR8T8,group1
B008RTNSJQ,group1
B00B33Y2JI,group1
B00GLS55DC,group1
B00CDGR29G,group1
B00GLS58SO,group1
B008O4YM4Y,group1
B007K449EC,group1
B00HD7SCLM,group1
B000KNHJ5G,group1
B00KQBR9FM,group1
B00005NAOD,group1
B00AHF1GK6,group1
B002L6NZHG,group1
B000VDUOFM,group1
B00AO4E9L8,group1
B0089JVDPK,group1
B0000536P3,group1
B003RF82RI,group1
B003ILUQPM,group1
B002MO780W,group1
B000F5AG5E,group1
B002TSA90M,group1
B0094G3M6A,group1
B005F4BH8A,group1
B00178VX50,group1
B00006JT6O,group1
B0017ZDH52,group1
B006L16BHS,group1
B005HO0A1I,group1
B006UET4XE,group1
B007RTR89S,group1
B009FKNGRA,group1
B00GTBZXA6,group1
B00IT1HKV4,group1
B000PQDKU6,group1
B005TI7LD2,group1
B00D6EDGYE,group1
B00EOP3MJI,group1
B0027CT5VO,group1
B00AE07BDU,group1
B003ZX32ZO,group1
B000UWH3SU,group1
B00GTC1HB4,group1
B0072XT8BA,group1
B009CZR3Y0,group1
B006IBM21K,group1
B000052YOL,group1
B0045K1N8E,group1
B00AE07BI0,group1
B001HKR6WM,group1
B0067F8BBM,group1
B007RTR8AC,group1
B001CE6T76,group1
B004Y9GY44,group1
B00C7DYBX0,group1
B001E7BEEE,group1
B00AE07CTI,group1
B001U0OQN6,group1
B00GLS593S,group1
B00028M3N2,group1
B00GJ7WV8M,group1
B008U1Q4DI,group1
B007RTR8A2,group1
B000P6BRHY,group1
B00GTC1FFW,group1
B00AO4E9E0,group1
B001A5S3BM,group1
B008PTPSF0,group1
B006FRS9O6,group1
B002ON11RW,group1
B007RTR9G0,group1
B002X9XV48,group1
B00GYB1AQM,group1
B007RTR9DS,group1
B00EA4MHN0,group1
B004220C6E,group1
B00AV1IJME,group1
B0000UTUVU,group1
B005TI7NPI,group1
B000BH92J2,group1
B005XUFU8E,group1
B007K449CE,group1
B0000530EZ,group1
B004GFR3GY,group1
B007RT19V6,group1
B004UKENRC,group1
B003GDK6F2,group1
B006L6AA8Y,group1
B005UL1B34,group1
B00KAL5JAU,group1
B000L9YYTS,group1
B0090UJFYI,group1
B008VSYO5A,group1
B0016A8DT8,group1
B0000UTUW4,group1
B0067F28ZW,group1
B00GTC03AU,group1
B001ECQ4OY,group1
B001KYO7OA,group1
B0068G8DTA,group1
B000H8UN3Y,group1
B00006IV2F,group1
B0043TUSME,group1
B00HM6IXH2,group1
B008EKY8VK,group1
B0013CSGBE,group1
B00AE07FUE,group1
B0027VCNGO,group1
B005OZF1S2,group1
B00A0IWRRG,group1
B00AO4EL34,group1
B002JSL6QI,group1
B00FAEOCP0,group1
B00JJVG6HC,group1
B00HSNWXVQ,group1
B00639DLV2,group1
B004TSF8R4,group1
B002QANC2A,group1
B004UDQ6GK,group1
B001IACZEK,group1
B007JT7ARQ,group1
B007JT7AEY,group1
B001RMP7M6,group1
B0019N6RFO,group1
B0035RE2TA,group1
B00GTBZHCA,group1
B007O7AZBG,group1
B009VGNYFM,group1
B0028RC5N8,group1
B0081E6X1W,group1
B00G2TQNZ4,group1
B00GFBWWWC,group1
B00A0IWSIO,group1
B004BCT7G6,group1
B001ECQ5CA,group1
B007TL60IE,group1
B004D268RA,group1
B005UBN2AO,group1
B00HJD8NLY,group1
B00ANFYEQS,group1
B00HSNWZKU,group1
B0046VGIRI,group1
B007U90J5U,group1
B004XJNQXW,group1
B006UETAB0,group1
B00HNKRWI8,group1
B00AE07932,group1
B00HSNWZFU,group1
B003WN1ELQ,group1
B009GEUOZ2,group1
B001S261Q6,group1
B004UQPCGM,group1
B005FJQQMC,group1
B005TKZS76,group1
B000PQGYOU,group1
B00A0IWRUI,group1
B0080GV0Z0,group1
B005BF1M10,group1
B005C1C02S,group1
B00631JA8S,group1
B008AMKZUU,group1
B00GTC0IY6,group1
B00AWLB9EI,group1
B0039UTO3M,group1
B00008MNZH,group1
B001U0ONNY,group1
B0062MAAAK,group1
B00HNKRWX8,group1
B0063A432W,group1
B0026J10CU,group1
B00HSNWXV6,group1
B0009V8N5E,group1
B004XA81ZE,group1
B001B7GJ2E,group1
B00A6O1AP4,group1
B00AO4EMKQ,group1
B00IDWP4IA,group1
B00A0IWTDI,group1
B001EM1BBK,group1
B000YZGOZQ,group1
B00HM6JLNW,group1
B0030HAF4G,group1
B005R3UYEW,group1
B008CEDY5O,group1
B000E0K7NQ,group1
B002LFLPEC,group1
B004B3YC9M,group1
B002S8PU02,group1
B00G5WO2VK,group1
B005TI7LHS,group1
B00GTC0E1I,group1
B00A0IWRU8,group1
B0027CT5SC,group1
B000ZV0D9W,group1
B00GUC7XAW,group1
B00AHF1GTM,group1
B00HSNWXYI,group1
B00AWLBAE2,group1
B007JT7AGC,group1
B004J6WCBQ,group1
B00AE078TM,group1
B00G75X158,group1
B006L6A06Q,group1
B004675EI6,group1
B007RTR8UW,group1
B004M7WKKK,group1
B005BG02BU,group1
B005D0WXPC,group1
B00GTC1JVM,group1
B001Q878WI,group1
B005VX8S4G,group1
B00GXZS5VW,group1
B00GTBZHUW,group1
B00GTBZI6A,group1
B005V2LLXC,group1
B008FX7B9M,group1
B001GIOW3G,group1
B0094GHGQM,group1
B00GCQMSVA,group1
B00GYB1ECW,group1
B0002Z8HAI,group1
B00132ZG3U,group1
B000KVH1QU,group1
B00ALV8EJM,group1
B00ALV8EJW,group1
B007A592HU,group1
B00A0IWRT4,group1
B006L6A10G,group1
B00HM6IV6K,group1
B00GTBZN4C,group1
B007RTR9FQ,group1
B007RTR898,group1
B002WTC38O,group1
B006OMHR1S,group1
B004TSFE6Y,group1
B0028K3J6W,group1
B006U95N34,group1
B001C6H6F8,group1
B00HSNWXTI,group1
B009FKNGGQ,group1
B00HNKRWII,group1
B00GLS554Q,group1
